Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  2.43      6.20     0.16   944846     0.00     0.00  void std::__introselect<__gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<spatial_index::KDTree<float, (unsigned char)3>::rebuild(std::vector<std::array<float, 3ul>, std::allocator<std::array<float, 3ul> > > const&)::{lambda(spatial_index::KDTree<float, (unsigned char)3>::Node const&, spatial_index::KDTree<float, (unsigned char)3>::Node const&)#1}> >(__gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, __gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, __gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<spatial_index::KDTree<float, (unsigned char)3>::rebuild(std::vector<std::array<float, 3ul>, std::allocator<std::array<float, 3ul> > > const&)::{lambda(spatial_index::KDTree<float, (unsigned char)3>::Node const&, spatial_index::KDTree<float, (unsigned char)3>::Node const&)#1}>)
  2.43      6.36     0.16      228     0.70     0.70  std::vector<pcl::PointXYZIR, Eigen::aligned_allocator<pcl::PointXYZIR> >::_M_default_append(unsigned long)
  0.76      6.41     0.05 27842198     0.00     0.00  rclcpp::WallTimer<rclcpp::detail::create_subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}, std::allocator<void>, rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, rclcpp::Node, rclcpp::Node, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(rclcpp::Node&, rclcpp::Node&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}&&, rclcpp::SubscriptionOptionsWithAllocator<std::allocator<void> > const&, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::SharedPtr)::{lambda()#1}, (void*)0>::~WallTimer()
  0.61      6.45     0.04 27811459     0.00     0.00  common::atan2Approx(float, float)
  0.61      6.49     0.04      228     0.18     0.18  clustering::Clusterer::removeSmallClusters(std::vector<int, std::allocator<int> >&)
  0.30      6.51     0.02      912     0.02     0.02  std::_Sp_counted_deleter<sensor_msgs::msg::PointCloud2_<std::allocator<void> >*, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.30      6.53     0.02      228     0.09     0.09  void clustering::Clusterer::cartesianToSpherical<pcl::PointXYZRGB>(pcl::PointCloud<pcl::PointXYZRGB> const&, std::vector<clustering::SphericalPoint, std::allocator<clustering::SphericalPoint> >&)
  0.30      6.55     0.02      228     0.09     0.09  segmentation::Segmenter::populateLabels(std::vector<segmentation::Label, std::allocator<segmentation::Label> >&)
  0.15      6.56     0.01      912     0.01     0.01  sensor_msgs::msg::PointCloud2_<std::allocator<void> >::PointCloud2_(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)
  0.15      6.57     0.01      228     0.04     0.04  std::vector<visualization_msgs::msg::Marker_<std::allocator<void> >, std::allocator<visualization_msgs::msg::Marker_<std::allocator<void> > > >::vector(std::vector<visualization_msgs::msg::Marker_<std::allocator<void> >, std::allocator<visualization_msgs::msg::Marker_<std::allocator<void> > > > const&)
  0.15      6.58     0.01                             _init
  0.00      6.58     0.00   447954     0.00     0.00  rclcpp::GenericTimer<rclcpp::detail::create_subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}, std::allocator<void>, rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, rclcpp::Node, rclcpp::Node, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(rclcpp::Node&, rclcpp::Node&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}&&, rclcpp::SubscriptionOptionsWithAllocator<std::allocator<void> > const&, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::SharedPtr)::{lambda()#1}, (void*)0>::call()
  0.00      6.58     0.00    78776     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
  0.00      6.58     0.00    55790     0.00     0.00  visualization_msgs::msg::Marker_<std::allocator<void> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<visualization_msgs::msg::Marker_<std::allocator<void> >*, unsigned long>(visualization_msgs::msg::Marker_<std::allocator<void> >*, unsigned long)
  0.00      6.58     0.00    55790     0.00     0.00  std::vector<visualization_msgs::msg::Marker_<std::allocator<void> >, std::allocator<visualization_msgs::msg::Marker_<std::allocator<void> > > >::_M_default_append(unsigned long)
  0.00      6.58     0.00    55790     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}>)
  0.00      6.58     0.00    55546     0.00     0.00  visualization_msgs::msg::Marker_<std::allocator<void> >::~Marker_()
  0.00      6.58     0.00    27588     0.00     0.00  segmentation::Segmenter::resetValues()
  0.00      6.58     0.00     7496     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      6.58     0.00     3648     0.00     0.00  std::unique_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >::~unique_ptr()
  0.00      6.58     0.00     1677     0.00     0.00  polygonization::Polygonizer::findAntipodalPairsOfConvexHull(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<polygonization::AntipodalPair, std::allocator<polygonization::AntipodalPair> >&)
  0.00      6.58     0.00      915     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::reserve(unsigned long)
  0.00      6.58     0.00      913     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned long)
  0.00      6.58     0.00      912     0.00     0.00  processing::convertPCLToPointCloud2(pcl::PointCloud<pcl::PointXYZRGB> const&, sensor_msgs::msg::PointCloud2_<std::allocator<void> >&)
  0.00      6.58     0.00      912     0.00     0.02  std::enable_if<rosidl_generator_traits::is_message<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >::value&&std::is_same<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >::value, void>::type rclcpp::Publisher<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::publish<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)
  0.00      6.58     0.00      912     0.00     0.00  std::unique_ptr<sensor_msgs::msg::Image_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::Image_<std::allocator<void> > > >::~unique_ptr()
  0.00      6.58     0.00      912     0.00     0.00  std::unique_ptr<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::default_delete<visualization_msgs::msg::MarkerArray_<std::allocator<void> > > >::~unique_ptr()
  0.00      6.58     0.00      912     0.00     0.00  std::__shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >, void>(std::unique_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >&&)
  0.00      6.58     0.00      912     0.00     0.00  std::_Sp_counted_deleter<sensor_msgs::msg::PointCloud2_<std::allocator<void> >*, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      6.58     0.00      900     0.00     0.00  std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> >::_M_default_append(unsigned long)
  0.00      6.58     0.00      703     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      6.58     0.00      684     0.00     0.01  void rclcpp::experimental::IntraProcessManager::do_intra_process_publish<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >(unsigned long, std::unique_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >, rclcpp::allocator::AllocRebind<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >::allocator_type&)
  0.00      6.58     0.00      684     0.00     0.00  void rclcpp::experimental::IntraProcessManager::add_shared_msg_to_buffers<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const>, std::vector<unsigned long, std::allocator<unsigned long> >)
  0.00      6.58     0.00      684     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&)
  0.00      6.58     0.00      684     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::vector(std::vector<unsigned long, std::allocator<unsigned long> > const&)
  0.00      6.58     0.00      456     0.00     0.00  std::__shared_ptr<rclcpp::experimental::IntraProcessManager, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__weak_ptr<rclcpp::experimental::IntraProcessManager, (__gnu_cxx::_Lock_policy)2> const&, std::nothrow_t) [clone .constprop.0]
  0.00      6.58     0.00      456     0.00     0.00  std::vector<float, std::allocator<float> >::_M_fill_assign(unsigned long, float const&)
  0.00      6.58     0.00      233     0.00     0.00  rclcpp::GenericTimer<rclcpp::detail::create_subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}, std::allocator<void>, rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, rclcpp::Node, rclcpp::Node, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(rclcpp::Node&, rclcpp::Node&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}&&, rclcpp::SubscriptionOptionsWithAllocator<std::allocator<void> > const&, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::SharedPtr)::{lambda()#1}, (void*)0>::execute_callback()
  0.00      6.58     0.00      233     0.00     0.00  std::_Function_handler<rclcpp::WaitResult<rclcpp::WaitSetTemplate<rclcpp::wait_set_policies::SequentialSynchronization, rclcpp::wait_set_policies::DynamicStorage> > (rclcpp::WaitResultKind), rclcpp::WaitSetTemplate<rclcpp::wait_set_policies::SequentialSynchronization, rclcpp::wait_set_policies::DynamicStorage>::wait<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> >)::{lambda(rclcpp::WaitResultKind)#4}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      6.58     0.00      233     0.00     0.00  std::_Function_handler<rclcpp::WaitResult<rclcpp::WaitSetTemplate<rclcpp::wait_set_policies::SequentialSynchronization, rclcpp::wait_set_policies::DynamicStorage> > (rclcpp::WaitResultKind), rclcpp::WaitSetTemplate<rclcpp::wait_set_policies::SequentialSynchronization, rclcpp::wait_set_policies::DynamicStorage>::wait<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> >)::{lambda(rclcpp::WaitResultKind)#4}>::_M_invoke(std::_Any_data const&, rclcpp::WaitResultKind&&)
  0.00      6.58     0.00      233     0.00     0.00  std::_Function_handler<rcl_wait_set_s& (), rclcpp::WaitSetTemplate<rclcpp::wait_set_policies::SequentialSynchronization, rclcpp::wait_set_policies::DynamicStorage>::wait<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> >)::{lambda()#3}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      6.58     0.00      233     0.00     0.00  std::_Function_handler<rcl_wait_set_s& (), rclcpp::WaitSetTemplate<rclcpp::wait_set_policies::SequentialSynchronization, rclcpp::wait_set_policies::DynamicStorage>::wait<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> >)::{lambda()#3}>::_M_invoke(std::_Any_data const&)
  0.00      6.58     0.00      233     0.00     0.00  std::_Function_handler<bool (), rclcpp::wait_set_policies::detail::SynchronizationPolicyCommon::create_loop_predicate(std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      6.58     0.00      233     0.00     0.00  std::_Function_handler<void (), rclcpp::WaitSetTemplate<rclcpp::wait_set_policies::SequentialSynchronization, rclcpp::wait_set_policies::DynamicStorage>::wait<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> >)::{lambda()#2}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      6.58     0.00      233     0.00     0.01  std::_Function_handler<void (), rclcpp::WaitSetTemplate<rclcpp::wait_set_policies::SequentialSynchronization, rclcpp::wait_set_policies::DynamicStorage>::wait<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> >)::{lambda()#2}>::_M_invoke(std::_Any_data const&)
  0.00      6.58     0.00      233     0.00     0.01  std::__detail::__variant::__gen_vtable_impl<std::__detail::__variant::_Multi_array<std::__detail::__variant::__deduce_visit_result<void> (*)(rclcpp::AnySubscriptionCallback<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::dispatch(std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >, rclcpp::MessageInfo const&)::{lambda(auto:1&&)#1}&&, std::variant<std::function<void (sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)>, std::function<void (sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&, rclcpp::MessageInfo const&)>, std::function<void (rclcpp::SerializedMessage const&)>, std::function<void (rclcpp::SerializedMessage const&, rclcpp::MessageInfo const&)>, std::function<void (std::unique_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >)>, std::function<void (std::unique_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >, rclcpp::MessageInfo const&)>, std::function<void (std::unique_ptr<rclcpp::SerializedMessage, std::default_delete<rclcpp::SerializedMessage> >)>, std::function<void (std::unique_ptr<rclcpp::SerializedMessage, std::default_delete<rclcpp::SerializedMessage> >, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const>)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const>, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage const>)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage const>, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const> const&)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const> const&, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage const> const&)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage const> const&, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage>)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage>, rclcpp::MessageInfo const&)> >&)>, std::integer_sequence<unsigned long, 8ul> >::__visit_invoke(rclcpp::AnySubscriptionCallback<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::dispatch(std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >, rclcpp::MessageInfo const&)::{lambda(auto:1&&)#1}&&, std::variant<std::function<void (sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)>, std::function<void (sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&, rclcpp::MessageInfo const&)>, std::function<void (rclcpp::SerializedMessage const&)>, std::function<void (rclcpp::SerializedMessage const&, rclcpp::MessageInfo const&)>, std::function<void (std::unique_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >)>, std::function<void (std::unique_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >, rclcpp::MessageInfo const&)>, std::function<void (std::unique_ptr<rclcpp::SerializedMessage, std::default_delete<rclcpp::SerializedMessage> >)>, std::function<void (std::unique_ptr<rclcpp::SerializedMessage, std::default_delete<rclcpp::SerializedMessage> >, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const>)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const>, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage const>)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage const>, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const> const&)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const> const&, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage const> const&)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage const> const&, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >)>, std::function<void (std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >, rclcpp::MessageInfo const&)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage>)>, std::function<void (std::shared_ptr<rclcpp::SerializedMessage>, rclcpp::MessageInfo const&)> >&)
  0.00      6.58     0.00      231     0.00     0.00  std::vector<pcl::PointXYZRGB, Eigen::aligned_allocator<pcl::PointXYZRGB> >::reserve(unsigned long)
  0.00      6.58     0.00      228     0.00     6.97  void clustering::Clusterer::cluster<pcl::PointXYZRGB>(pcl::PointCloud<pcl::PointXYZRGB> const&, std::vector<int, std::allocator<int> >&)
  0.00      6.58     0.00      228     0.00     0.00  sensor_msgs::msg::Image_<std::allocator<void> >::Image_(sensor_msgs::msg::Image_<std::allocator<void> > const&)
  0.00      6.58     0.00      228     0.00     8.82  void segmentation::Segmenter::segment<pcl::PointXYZIR>(pcl::PointCloud<pcl::PointXYZIR> const&, std::vector<segmentation::Label, std::allocator<segmentation::Label> >&)
  0.00      6.58     0.00      228     0.00     0.00  std::shared_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> > const> rclcpp::experimental::IntraProcessManager::do_intra_process_publish_and_return_shared<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >(unsigned long, std::unique_ptr<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >, rclcpp::allocator::AllocRebind<sensor_msgs::msg::PointCloud2_<std::allocator<void> > >::allocator_type&)
  0.00      6.58     0.00      228     0.00     0.00  std::shared_ptr<sensor_msgs::msg::Image_<std::allocator<void> > const> rclcpp::experimental::IntraProcessManager::do_intra_process_publish_and_return_shared<sensor_msgs::msg::Image_<std::allocator<void> >, sensor_msgs::msg::Image_<std::allocator<void> >, std::allocator<void>, std::default_delete<sensor_msgs::msg::Image_<std::allocator<void> > > >(unsigned long, std::unique_ptr<sensor_msgs::msg::Image_<std::allocator<void> >, std::default_delete<sensor_msgs::msg::Image_<std::allocator<void> > > >, rclcpp::allocator::AllocRebind<sensor_msgs::msg::Image_<std::allocator<void> > >::allocator_type&)
  0.00      6.58     0.00      228     0.00     0.00  std::shared_ptr<visualization_msgs::msg::MarkerArray_<std::allocator<void> > const> rclcpp::experimental::IntraProcessManager::do_intra_process_publish_and_return_shared<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::allocator<void>, std::default_delete<visualization_msgs::msg::MarkerArray_<std::allocator<void> > > >(unsigned long, std::unique_ptr<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::default_delete<visualization_msgs::msg::MarkerArray_<std::allocator<void> > > >, rclcpp::allocator::AllocRebind<visualization_msgs::msg::MarkerArray_<std::allocator<void> > >::allocator_type&)
  0.00      6.58     0.00      228     0.00     0.00  rclcpp::Publisher<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::do_inter_process_publish(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)
  0.00      6.58     0.00      228     0.00     0.00  rclcpp::Publisher<sensor_msgs::msg::Image_<std::allocator<void> >, std::allocator<void> >::do_inter_process_publish(sensor_msgs::msg::Image_<std::allocator<void> > const&)
  0.00      6.58     0.00      228     0.00     0.00  rclcpp::Publisher<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::allocator<void> >::do_inter_process_publish(visualization_msgs::msg::MarkerArray_<std::allocator<void> > const&)
  0.00      6.58     0.00      228     0.00     0.00  std::_Sp_counted_deleter<sensor_msgs::msg::Image_<std::allocator<void> >*, std::default_delete<sensor_msgs::msg::Image_<std::allocator<void> > >, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
